Total Interactions,Page total likes,Post Month,Post Weekday,Post Hour,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share
18,138414,12,7,10,3454,6853,118,104,130,6282,3100,106,0,16.0,2.0
211,138895,12,6,3,18480,28438,517,366,460,12078,6752,319,6,187.0,18.0
46,138353,12,5,3,2645,4270,134,109,170,2330,1377,101,7,29.0,10.0
71,138353,12,4,3,7968,13023,206,158,223,6734,3492,138,4,57.0,10.0
32,138353,12,3,2,1925,3481,97,83,126,2307,1180,77,6,18.0,8.0
14,138353,12,2,2,1536,3094,84,76,99,2903,1407,76,1,12.0,1.0
163,137177,11,4,3,21176,54779,330,228,329,13858,5248,185,2,130.0,31.0
48,136393,10,5,10,4664,9463,204,182,251,7196,3324,173,0,32.0,16.0
202,136013,10,4,3,68992,229733,1032,975,1345,17842,8032,635,15,143.0,44.0
35,135713,10,6,11,3616,6887,111,90,118,4263,2138,93,0,24.0,11.0
63,117764,5,1,2,12540,19301,344,322,396,16914,11008,289,3,46.0,14.0
56,113028,4,5,7,35360,45260,339,325,477,9105,5472,156,7,38.0,11.0
420,107907,4,2,6,70912,94172,1374,1106,1267,42338,27232,788,1,379.0,40.0
44,106928,4,6,4,34192,42092,338,322,389,22907,16464,230,1,36.0,7.0
85,102112,3,1,3,6876,10885,282,245,337,9403,5752,259,2,68.0,15.0
6,100732,3,7,14,2933,5144,24,23,26,3972,2012,19,0,6.0,0.0
49,98195,3,6,6,5730,10083,103,71,97,8964,4830,92,2,32.0,15.0
131,91437,2,3,13,9356,14986,448,381,505,13919,8460,392,4,114.0,13.0
107,86909,1,6,4,39600,7927,572,496,581,12522,8176,167,1,101.0,5.0
7,86491,1,4,4,4938,7910,66,63,70,6625,3804,59,0,5.0,2.0
14,86491,1,2,2,5168,8371,66,59,71,7041,3996,58,0,12.0,2.0
137,85979,1,5,11,45920,5808,753,655,763,15766,10720,220,0,128.0,9.0
